id,name,category,price,price_last_updated,trigger_keywords,healthy_alternative,description,rating,links

1,Roasted Makhana,Healthy Snack,150,2026-05-03,"chips|lays|kurkure|fried snacks","Roasted Makhana","Air-popped fox nuts, low calorie crunchy snack",4.6,"https://www.amazon.in/s?k=roasted+makhana|https://www.bigbasket.com/"

2,Roasted Chana,Healthy Snack,110,2026-05-03,"namkeen|bhujia|mixture","Roasted Chana","Protein-rich roasted chickpeas",4.5,"https://www.amazon.in/s?k=roasted+chana|https://www.blinkit.com/"

3,Coconut Water,Beverage,60,2026-05-03,"cola|soft drink|soda|coke","Natural Coconut Water","Hydrating electrolyte drink with no additives",4.8,"https://www.bigbasket.com/|https://www.zepto.com/"

4,Orange Juice,Beverage,85,2026-05-03,"packaged juice|tetra pack juice|juice|tropicana","Fresh Orange Juice","No added sugar freshly squeezed orange juice rich in Vitamin C",4.7,"https://www.bigbasket.com/|https://www.amazon.in/"

5,Oats Cookies (Low Sugar),Healthy Snack,180,2026-05-03,"cookies|biscuits|sweet snacks","Homemade Oats Cookies","Fiber-rich low sugar cookies",4.6,"https://www.amazon.in/s?k=oats+cookies"

6,Whole Wheat Bread,Bakery,55,2026-05-03,"white bread|maida bread","Whole Wheat Bread","High fiber healthier bread option",4.4,"https://www.bigbasket.com/"

7,Sweet Potato Chips,Healthy Snack,200,2026-05-03,"chips|french fries","Sweet Potato Chips","Oven baked chips with low oil",4.5,"https://www.amazon.in/s?k=sweet+potato+chips"

8,Dark Chocolate (70%+ Cocoa),Healthy Snack,250,2026-05-03,"chocolate|dairy milk","Dark Chocolate","Antioxidant rich low sugar chocolate",4.6,"https://www.amazon.in/s?k=dark+chocolate"

9,Green Tea,Beverage,220,2026-05-03,"tea|coffee","Green Tea","Metabolism boosting herbal drink",4.7,"https://www.amazon.in/s?k=green+tea"

10,Greek Yogurt Cup,Dairy,80,2026-05-03,"ice cream|dessert","Greek Yogurt","Gut friendly high protein dairy option",4.6,"https://www.bigbasket.com/"

11,Watermelon Juice,Beverage,50,2026-05-03,"summer drink|juice","Fresh Watermelon Juice","Hydrating summer juice",4.8,"https://www.zepto.com/"

12,Sugarcane Juice,Beverage,40,2026-05-03,"soft drink|cola","Fresh Sugarcane Juice","Natural energy drink",4.7,"https://www.blinkit.com/"

13,Amla Juice,Beverage,300,2026-05-03,"health drink|immunity","Amla Juice","Rich in Vitamin C",4.7,"https://www.amazon.in/s?k=amla+juice"

14,Carrot Beetroot Juice,Beverage,90,2026-05-03,"energy drink|juice","Carrot Beetroot Juice","Iron-rich detox juice",4.8,"https://www.bigbasket.com/"

15,Mixed Fruit Juice,Beverage,110,2026-05-03,"fruit juice|packed juice","Fresh Mixed Fruit Juice","Seasonal fruit blend",4.7,"https://www.bigbasket.com/"
